fold_id,fold_index,test_cbsa_a,test_cbsa_b,method,cbsa_code,target,n_samples,y_true_mean,y_pred_mean,pred_bias_mean,mae,rmse,r2
test_12060_14460,0,12060,14460,nearest_train_city_mean,12060,Car_share,1499,0.9331200258359936,0.8204200029198006,-0.1127000229161932,0.1363891878319904,0.1479746750667027,-2.0122684569459928
test_12060_14460,0,12060,14460,nearest_train_city_mean,12060,Transit_share,1499,0.0264835983131547,0.1060540641771707,0.0795704658640159,0.0937230909346011,0.1012197118721882,-2.4515840952091077
test_12060_14460,0,12060,14460,nearest_train_city_mean,12060,NonTransit_share,1499,0.0403963758508515,0.0735259329030287,0.0331295570521771,0.0545475190954148,0.0665901869555377,-0.4177170041502069
test_12060_14460,0,12060,14460,nearest_train_city_mean,12060,avg,1499,,,,0.0948865992873354,0.1052615246314762,-1.627189852101769
test_12060_14460,0,12060,14460,nearest_train_city_mean,14460,Car_share,1115,0.7720657517114665,0.7350985994484284,-0.0369671522630381,0.1542051987433796,0.1945688568685234,0.2696196498980623
test_12060_14460,0,12060,14460,nearest_train_city_mean,14460,Transit_share,1115,0.1220790640614959,0.1756916458244422,0.0536125817629463,0.1040739795593777,0.131083408426109,0.0218769354005086
test_12060_14460,0,12060,14460,nearest_train_city_mean,14460,NonTransit_share,1115,0.1058551842270376,0.0892097547271293,-0.0166454294999082,0.0830258546757016,0.1384341248435138,0.0776671703560583
test_12060_14460,0,12060,14460,nearest_train_city_mean,14460,avg,1115,,,,0.113768344326153,0.1546954633793821,0.1230545852182097
test_12060_14460,0,12060,14460,test_city_oracle_mean,12060,Car_share,1499,0.9331200258359936,0.9331200258359936,4.2661004815483e-17,0.057139389453363,0.0852590634941381,0.0
test_12060_14460,0,12060,14460,test_city_oracle_mean,12060,Transit_share,1499,0.0264835983131547,0.0264835983131547,2.370055823082389e-18,0.0336420039023506,0.0544823544336763,0.0
test_12060_14460,0,12060,14460,test_city_oracle_mean,12060,NonTransit_share,1499,0.0403963758508515,0.0403963758508515,-7.406424447132466e-19,0.0354105957972048,0.0559262191323718,0.0
test_12060_14460,0,12060,14460,test_city_oracle_mean,12060,avg,1499,,,,0.0420639963843061,0.0652225456867287,0.0
test_12060_14460,0,12060,14460,test_city_oracle_mean,14460,Car_share,1115,0.7720657517114665,0.7720657517114664,-3.1862902948883417e-18,0.181195221125225,0.2276663196779798,1.1102230246251563e-16
test_12060_14460,0,12060,14460,test_city_oracle_mean,14460,Transit_share,1115,0.1220790640614959,0.1220790640614959,0.0,0.105544115146397,0.1325412235410779,0.0
test_12060_14460,0,12060,14460,test_city_oracle_mean,14460,NonTransit_share,1115,0.1058551842270376,0.1058551842270376,1.1152016032109197e-17,0.0963312261757294,0.1441449148349586,0.0
test_12060_14460,0,12060,14460,test_city_oracle_mean,14460,avg,1115,,,,0.1276901874824505,0.1681174860180055,3.7007434154171876e-17
test_12060_14460,0,12060,14460,train_global_mean,12060,Car_share,1499,0.9331200258359936,0.8532369764076596,-0.0798830494283336,0.1055687857529328,0.1168349669143064,-0.8778658491280162
test_12060_14460,0,12060,14460,train_global_mean,12060,Transit_share,1499,0.0264835983131547,0.0828387433149142,0.0563551450017594,0.0718206344508978,0.0783851345141798,-1.0699301079039336
test_12060_14460,0,12060,14460,train_global_mean,12060,NonTransit_share,1499,0.0403963758508515,0.0639242802774256,0.023527904426574,0.0471689303480252,0.060673752753131,-0.1769846391120326
test_12060_14460,0,12060,14460,train_global_mean,12060,avg,1499,,,,0.0748527835172853,0.0852979513938724,-0.7082601987146608
test_12060_14460,0,12060,14460,train_global_mean,14460,Car_share,1115,0.7720657517114665,0.8532369764076598,0.0811712246961935,0.1658457812996956,0.241703787381158,-0.1271178746432795
test_12060_14460,0,12060,14460,train_global_mean,14460,Transit_share,1115,0.1220790640614959,0.0828387433149142,-0.0392403207465816,0.0987296782760498,0.1382279953918909,-0.0876522656657825
test_12060_14460,0,12060,14460,train_global_mean,14460,NonTransit_share,1115,0.1058551842270376,0.0639242802774256,-0.0419309039496119,0.0828374596285011,0.1501198094150437,-0.0846193720835613
test_12060_14460,0,12060,14460,train_global_mean,14460,avg,1115,,,,0.1158043064014155,0.1766838640626975,-0.0997965041308744
test_12060_16980,1,12060,16980,nearest_train_city_mean,12060,Car_share,1499,0.9331200258359936,0.8215267832865576,-0.111593242549436,0.1366114438376066,0.1481568273053092,-2.0196890396037883
test_12060_16980,1,12060,16980,nearest_train_city_mean,12060,Transit_share,1499,0.0264835983131547,0.1049989636074478,0.078515365294293,0.0932051099840456,0.1010292584233397,-2.438607420254746
test_12060_16980,1,12060,16980,nearest_train_city_mean,12060,NonTransit_share,1499,0.0403963758508515,0.0734742531059945,0.0330778772551429,0.0546468630179945,0.066525617409433,-0.4149689427357848
test_12060_16980,1,12060,16980,nearest_train_city_mean,12060,avg,1499,,,,0.0948211389465489,0.1052372343793607,-1.6244218008647728
test_12060_16980,1,12060,16980,nearest_train_city_mean,16980,Car_share,1889,0.8199207145684457,0.8539478036221735,0.0340270890537275,0.1506479431095311,0.1983948615918103,-0.2730196392408974
test_12060_16980,1,12060,16980,nearest_train_city_mean,16980,Transit_share,1889,0.1202228473938361,0.0805057126280686,-0.0397171347657674,0.1131753800428989,0.155013842652282,-0.3777039805667481
test_12060_16980,1,12060,16980,nearest_train_city_mean,16980,NonTransit_share,1889,0.059856438037718,0.0655464837497579,0.0056900457120398,0.0540431402779552,0.0843314096727859,-0.0352106803177909
test_12060_16980,1,12060,16980,nearest_train_city_mean,16980,avg,1889,,,,0.1059554878101284,0.1459133713056261,-0.2286447667084788
test_12060_16980,1,12060,16980,test_city_oracle_mean,12060,Car_share,1499,0.9331200258359936,0.9331200258359936,4.2661004815483e-17,0.057139389453363,0.0852590634941381,0.0
test_12060_16980,1,12060,16980,test_city_oracle_mean,12060,Transit_share,1499,0.0264835983131547,0.0264835983131547,2.370055823082389e-18,0.0336420039023506,0.0544823544336763,0.0
test_12060_16980,1,12060,16980,test_city_oracle_mean,12060,NonTransit_share,1499,0.0403963758508515,0.0403963758508515,-7.406424447132466e-19,0.0354105957972048,0.0559262191323718,0.0
test_12060_16980,1,12060,16980,test_city_oracle_mean,12060,avg,1499,,,,0.0420639963843061,0.0652225456867287,0.0
test_12060_16980,1,12060,16980,test_city_oracle_mean,16980,Car_share,1889,0.8199207145684457,0.8199207145684455,1.504590229243198e-17,0.1404013456084663,0.1758380536613731,0.0
